6,5,우리가 꿈꾸는 통일 한국,5,영상자료,통일을 준비하지 않은 2044년 대한민국을 보며 어떤 준비가 필요한지 생각해봅시다.,http://clipbank.ebs.co.kr/clip/view?clipId=VOD_20170918_00086,20190624
6,5,우리가 꿈꾸는 통일 한국,6,영상자료,통일 한국의 경제적 이익에 대해 영상을 보며 생각해봅시다.,http://clipbank.ebs.co.kr/clip/view?clipId=VOD_20170918_00088,20190624
6,5,우리가 꿈꾸는 통일 한국,7,서술,통일을 이루기 위해 우리 마음에 새기고 싶은 문장을 만들어 봅시다.,,20190624
6,5,우리가 꿈꾸는 통일 한국,8,평점,베트남의 통일 방식을 검색해서 찾아보고 장단점을 알아봅시다.,,20190624
6,5,우리가 꿈꾸는 통일 한국,9,평점,독일의 통일 방식을 검색해서 찾아보고 장단점을 알아봅시다.,,20190624
6,5,우리가 꿈꾸는 통일 한국,10,평점,통일이 되면 가고 싶은 여행지를 골라봅시다.,,20190624
6,6,함께 살아가는 지구촌,1,서술,지구촌 이웃을 도우려면 어떤 마음가짐이 필요할까요?,,20190624
6,6,함께 살아가는 지구촌,2,영상자료,환경문제에 관한 영상을 보면서 지구촌의 문제에 대해 생각해 봅시다.,http://clipbank.ebs.co.kr/clip/view?clipId=VOD_20111102_00105,20190624
6,6,함께 살아가는 지구촌,3,평점,"지구촌 이웃을 돕는 사람들의 이야기를 찾아보고, 본받을 점을 생각해봅시다.",,20190624
6,6,함께 살아가는 지구촌,4,평점,지구촌 사람들의 생활 모습이 우리와는 어떤 점들이 다른지 찾아봅시다.,,20190624
6,6,함께 살아가는 지구촌,5,평점,나는 ‘전쟁으로 내가 살던 나라에서 도망쳐 대한민국으로 와서 살고 있는 불법 이민자’라고 상상하고 그 삶의 모습을 떠올려 봅시다. ,,20190624
6,6,함께 살아가는 지구촌,6,영상자료,필리핀 빈민가의 기아문제 영상을 보고 지구촌의 기아 문제에 대해 알아봅시다.,http://clipbank.ebs.co.kr/clip/view?clipId=VOD_20171019_00018,20190624
6,6,함께 살아가는 지구촌,7,평점,나는 ‘태어난 나라에서 다른 나라로 입양된 아이’라고 상상하고 그 삶을 떠올려 봅시다.,,20190624
6,6,함께 살아가는 지구촌,8,평점,나는 ‘16세의 소녀인데 한 번도 만난 적이 없는 남자와 곧 결혼할 예정’이라고 상상하고 그 삶의 모습을 떠올려 봅시다.,,20190624
6,6,함께 살아가는 지구촌,9,평점,나는 ‘아프리카 출신의 흑인 모델’이라고 상상하고 그 삶을 떠올려 봅시다.,,20190624
6,6,함께 살아가는 지구촌,10,영상자료,해당 영상을 보고 우리 사회의 차별에 대해 생각해봅시다.,http://clipbank.ebs.co.kr/clip/view?clipId=VOD_20111204_00145,20190624
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
